City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
561,kambove,-10.8764,26.5969,17.75,91,100,2.01,CD,1674379295
562,treinta y tres,-33.2333,-54.3833,18.84,83,0,3.04,UY,1674379295
563,manavalakurichi,8.1333,77.3,29.89,50,95,0.79,IN,1674379296
564,bani,18.2833,-70.3333,22.14,79,1,4.2,DO,1674379297
565,anloga,5.7947,0.8973,28.35,72,23,4.34,GH,1674379121
566,kano,12.0001,8.5167,22.94,17,0,5.14,NG,1674379298
567,aquin,18.2833,-73.4,21.91,83,85,1.08,HT,1674379299
568,guanare,9.0418,-69.7421,21.54,81,100,1.22,VE,1674379300
569,canals,38.9625,-0.5844,7.09,32,0,1.47,ES,1674379300
570,toora-khem,52.4675,96.11,-28.15,91,89,0.75,RU,1674379301
571,tomatlan,19.9333,-105.25,17.05,94,2,1.36,MX,1674379301
572,port blair,11.6667,92.75,29.02,70,75,3.6,IN,1674379219
573,santa ana,33.7456,-117.8678,11.63,59,0,0.0,US,1674379302
574,shar,49.5886,81.0453,-21.54,88,8,2.55,KZ,1674379303
575,shubarshi,48.5872,57.1869,-4.25,62,0,1.99,KZ,1674379303
576,miraflores,19.2167,-98.8083,13.35,70,0,0.95,MX,1674379304
577,saint-nazaire,47.2833,-2.2,-0.85,90,0,1.54,FR,1674379305
578,betafo,-19.8333,46.85,20.05,85,100,1.24,MG,1674379305
579,buchanan,5.8808,-10.0467,26.55,81,83,2.85,LR,1674379306
